cisp,mes,ano,aisp,risp,total
61,2,2016,15,3,0
61,3,2016,15,3,0
61,4,2016,15,3,0
61,5,2016,15,3,4
61,6,2016,15,3,0
61,7,2016,15,3,1
61,8,2016,15,3,0
61,9,2016,15,3,0
61,10,2016,15,3,0
61,11,2016,15,3,0
61,12,2016,15,3,2
62,1,2016,15,3,2
62,2,2016,15,3,2
62,3,2016,15,3,3
62,4,2016,15,3,0
62,5,2016,15,3,0
62,6,2016,15,3,0
62,7,2016,15,3,1
62,8,2016,15,3,0
62,9,2016,15,3,0
62,10,2016,15,3,0
62,11,2016,15,3,0
62,12,2016,15,3,0
63,1,2016,24,3,0
63,2,2016,24,3,2
63,3,2016,24,3,0
63,4,2016,24,3,0
63,5,2016,24,3,1
63,6,2016,24,3,0
63,7,2016,24,3,0
63,8,2016,24,3,0
63,9,2016,24,3,0
63,10,2016,24,3,0
63,11,2016,24,3,1
63,12,2016,24,3,0
64,1,2016,21,3,0
64,2,2016,21,3,1
64,3,2016,21,3,0
64,4,2016,21,3,0
64,5,2016,21,3,4
64,6,2016,21,3,5
64,7,2016,21,3,0
64,8,2016,21,3,0
64,9,2016,21,3,1
64,10,2016,21,3,4
64,11,2016,21,3,0
64,12,2016,21,3,1
65,1,2016,34,3,0
65,2,2016,34,3,2
65,3,2016,34,3,0
65,4,2016,34,3,0
65,5,2016,34,3,0
65,6,2016,34,3,0
65,7,2016,34,3,1
65,8,2016,34,3,0
65,9,2016,34,3,0
65,10,2016,34,3,0
65,11,2016,34,3,4
65,12,2016,34,3,0
66,1,2016,34,3,3
66,2,2016,34,3,5
66,3,2016,34,3,1
66,4,2016,34,3,0
66,5,2016,34,3,1
66,6,2016,34,3,1
66,7,2016,34,3,0
66,8,2016,34,3,4
66,9,2016,34,3,0
66,10,2016,34,3,1
66,11,2016,34,3,0
66,12,2016,34,3,2
67,1,2016,34,3,1
67,2,2016,34,3,0
67,3,2016,34,3,4
67,4,2016,34,3,4
67,5,2016,34,3,1
67,6,2016,34,3,0
67,7,2016,34,3,0
67,8,2016,34,3,3
67,9,2016,34,3,1
67,10,2016,34,3,0
67,11,2016,34,3,1
67,12,2016,34,3,0
70,1,2016,35,4,0
70,2,2016,35,4,0
70,3,2016,35,4,0
70,4,2016,35,4,0
70,5,2016,35,4,0
70,6,2016,35,4,1
70,7,2016,35,4,1
70,8,2016,35,4,0
70,9,2016,35,4,0
70,10,2016,35,4,0
70,11,2016,35,4,0
70,12,2016,35,4,0
71,1,2016,35,4,1
71,2,2016,35,4,0
71,3,2016,35,4,0
71,4,2016,35,4,0
71,5,2016,35,4,2
71,6,2016,35,4,0
71,7,2016,35,4,2
71,8,2016,35,4,2
71,9,2016,35,4,0
71,10,2016,35,4,1
71,11,2016,35,4,0
71,12,2016,35,4,2
72,1,2016,7,4,2
72,2,2016,7,4,1
72,3,2016,7,4,0
72,4,2016,7,4,0
72,5,2016,7,4,0
72,6,2016,7,4,0
72,7,2016,7,4,1
72,8,2016,7,4,0
72,9,2016,7,4,0
72,10,2016,7,4,0
72,11,2016,7,4,1
72,12,2016,7,4,0
73,1,2016,7,4,1
73,2,2016,7,4,0
73,3,2016,7,4,0
73,4,2016,7,4,0
73,5,2016,7,4,1
73,6,2016,7,4,0
73,7,2016,7,4,1
73,8,2016,7,4,0
73,9,2016,7,4,1
73,10,2016,7,4,0
73,11,2016,7,4,0
73,12,2016,7,4,0
74,1,2016,7,4,1
74,2,2016,7,4,0
74,3,2016,7,4,0
74,4,2016,7,4,2
74,5,2016,7,4,0
74,6,2016,7,4,2
74,7,2016,7,4,0
74,8,2016,7,4,0
74,9,2016,7,4,0
74,10,2016,7,4,1
74,11,2016,7,4,1
74,12,2016,7,4,1
75,1,2016,7,4,1
75,2,2016,7,4,0
75,3,2016,7,4,0
75,4,2016,7,4,0
75,5,2016,7,4,0
75,6,2016,7,4,0
75,7,2016,7,4,0
75,8,2016,7,4,0
75,9,2016,7,4,0
75,10,2016,7,4,0
75,11,2016,7,4,1
75,12,2016,7,4,0
76,1,2016,12,4,0
76,2,2016,12,4,0
76,3,2016,12,4,0
76,4,2016,12,4,0
76,5,2016,12,4,0
76,6,2016,12,4,3
76,7,2016,12,4,0
76,8,2016,12,4,0
76,9,2016,12,4,0
76,10,2016,12,4,1
76,11,2016,12,4,0
