cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
32,4,2012,18,2,0,0,0,0,0,0,0,0,0
32,5,2012,18,2,0,0,0,0,0,0,0,0,0
32,6,2012,18,2,0,0,1,0,0,0,0,0,1
32,7,2012,18,2,0,0,0,1,0,0,0,0,1
32,8,2012,18,2,0,0,1,1,0,0,0,0,2
32,9,2012,18,2,0,0,0,1,0,0,0,0,1
32,10,2012,18,2,0,0,0,0,0,0,0,0,0
32,11,2012,18,2,0,0,0,0,0,0,0,0,0
32,12,2012,18,2,0,0,0,0,0,0,0,0,0
33,1,2012,14,2,0,0,0,1,0,0,0,0,1
33,2,2012,14,2,0,0,0,0,0,0,0,0,0
33,3,2012,14,2,0,0,0,1,0,0,0,0,1
33,4,2012,14,2,0,0,0,2,0,0,0,0,2
33,5,2012,14,2,0,0,0,0,0,0,0,0,0
33,6,2012,14,2,0,0,0,0,0,0,0,0,0
33,7,2012,14,2,0,0,0,7,0,0,0,0,7
33,8,2012,14,2,0,0,0,0,1,0,0,0,1
33,9,2012,14,2,0,0,0,0,0,0,0,0,0
33,10,2012,14,2,0,0,0,0,0,0,0,0,0
33,11,2012,14,2,0,0,0,1,0,0,0,0,1
33,12,2012,14,2,0,0,0,0,0,0,0,0,0
34,1,2012,14,2,0,0,0,13,0,0,0,0,13
34,2,2012,14,2,0,0,0,1,0,0,0,0,1
34,3,2012,14,2,0,0,0,2,0,0,0,0,2
34,4,2012,14,2,0,0,5,1,0,0,0,0,6
34,5,2012,14,2,0,0,0,1,0,0,0,0,1
34,6,2012,14,2,0,0,0,2,0,0,0,0,2
34,7,2012,14,2,0,0,0,2,0,0,0,0,2
34,8,2012,14,2,0,0,2,1,0,0,0,0,3
34,9,2012,14,2,0,0,0,2,0,2,0,0,4
34,10,2012,14,2,0,0,0,0,0,0,0,0,0
34,11,2012,14,2,0,0,0,1,0,0,0,0,1
34,12,2012,14,2,0,0,0,6,0,0,0,0,6
35,1,2012,40,2,0,0,0,0,0,0,0,0,0
35,2,2012,40,2,0,0,0,0,0,0,0,0,0
35,3,2012,40,2,0,0,0,0,0,0,0,0,0
35,4,2012,40,2,0,0,0,0,0,0,0,0,0
35,5,2012,40,2,0,0,0,0,0,0,0,0,0
35,6,2012,40,2,0,0,0,0,0,0,0,0,0
35,7,2012,40,2,0,0,0,0,0,0,0,0,0
35,8,2012,40,2,0,0,0,0,0,0,0,0,0
35,9,2012,40,2,0,0,0,0,0,0,0,0,0
35,10,2012,40,2,0,0,0,0,0,0,0,0,0
35,11,2012,40,2,0,0,0,0,0,0,0,0,0
35,12,2012,40,2,0,0,1,0,0,0,0,0,1
36,1,2012,27,2,0,0,24,3,0,0,0,0,27
36,2,2012,27,2,0,0,0,0,0,0,0,0,0
36,3,2012,27,2,0,0,0,1,0,0,0,0,1
36,4,2012,27,2,0,0,0,0,0,0,0,0,0
36,5,2012,27,2,0,0,0,12,0,0,0,0,12
36,6,2012,27,2,0,0,0,0,0,0,0,0,0
36,7,2012,27,2,0,0,5,1,0,0,0,0,6
36,8,2012,27,2,0,0,0,0,0,0,0,0,0
36,9,2012,27,2,0,0,0,1,0,0,0,0,1
36,10,2012,27,2,0,0,0,0,0,0,0,0,0
36,11,2012,27,2,0,0,0,0,0,0,0,0,0
36,12,2012,27,2,0,0,0,4,0,0,0,0,4
37,1,2012,17,1,0,0,0,1,0,0,0,0,1
37,2,2012,17,1,0,0,0,1,0,0,0,0,1
37,3,2012,17,1,0,0,0,0,0,0,0,0,0
37,4,2012,17,1,0,0,0,0,0,0,0,0,0
37,5,2012,17,1,0,0,0,0,0,0,0,0,0
37,6,2012,17,1,0,0,0,0,0,0,0,0,0
37,7,2012,17,1,0,0,0,2,0,0,0,0,2
37,8,2012,17,1,0,0,1,0,0,0,0,0,1
37,9,2012,17,1,0,0,0,0,0,0,0,0,0
37,10,2012,17,1,0,0,1,0,0,0,0,0,1
37,11,2012,17,1,0,0,0,0,0,0,0,0,0
37,12,2012,17,1,0,0,0,0,0,0,0,0,0
38,1,2012,16,1,0,0,0,1,0,0,0,0,1
38,2,2012,16,1,0,0,0,0,0,0,0,0,0
38,3,2012,16,1,0,0,0,1,0,0,0,0,1
38,4,2012,16,1,0,0,3,0,0,0,0,0,3
38,5,2012,16,1,0,0,0,2,0,0,0,0,2
38,6,2012,16,1,0,0,0,0,0,0,0,0,0
38,7,2012,16,1,0,0,0,0,0,0,0,0,0
38,8,2012,16,1,0,0,0,1,0,0,0,0,1
38,9,2012,16,1,0,0,1,0,0,0,0,0,1
38,10,2012,16,1,0,0,0,1,0,0,0,0,1
38,11,2012,16,1,0,0,0,1,0,0,0,0,1
38,12,2012,16,1,0,0,0,10,0,0,0,0,10
39,1,2012,41,2,0,0,1,3,0,0,0,0,4
39,2,2012,41,2,0,0,1,0,0,0,0,0,1
39,3,2012,41,2,0,0,1,3,0,0,0,0,4
39,4,2012,41,2,0,0,1,0,0,0,0,0,1
39,5,2012,41,2,0,0,5,7,4,0,0,0,16
39,6,2012,41,2,0,0,0,0,0,0,0,0,0
39,7,2012,41,2,0,0,0,1,0,0,0,0,1
39,8,2012,41,2,0,0,0,2,0,0,0,0,2
39,9,2012,41,2,0,0,0,0,0,1,0,0,1
39,10,2012,41,2,0,0,0,2,0,0,0,0,2
39,11,2012,41,2,0,0,0,2,0,0,0,0,2
39,12,2012,41,2,0,0,3,4,0,2,0,0,9
40,1,2012,9,2,0,0,0,3,0,0,0,0,3
40,2,2012,9,2,0,0,0,0,0,0,0,0,0
40,3,2012,9,2,0,0,0,1,0,0,0,0,1
40,4,2012,9,2,0,0,0,0,0,0,0,0,0
40,5,2012,9,2,0,0,0,1,0,0,0,0,1
40,6,2012,9,2,0,0,0,0,0,0,0,0,0
40,7,2012,9,2,0,0,0,0,0,0,0,0,0
40,8,2012,9,2,0,0,0,1,0,0,0,0,1
40,9,2012,9,2,0,0,0,0,0,0,0,0,0
40,10,2012,9,2,0,0,1,0,0,0,0,0,1
40,11,2012,9,2,0,0,0,1,0,0,0,0,1
40,12,2012,9,2,0,0,0,0,0,0,0,0,0
41,1,2012,18,2,0,0,0,0,0,0,0,0,0
41,2,2012,18,2,0,0,0,0,0,0,0,0,0
41,3,2012,18,2,0,0,0,2,0,0,0,0,2
41,4,2012,18,2,0,0,1,0,0,0,0,0,1
